"date","airtemp","watertemp","wavedirection","waveperiod","waveheight","windspeed","winddirection"
2022-04-26,57.1765217391304,56.4330434782609,268.521739130435,14.7713043478261,5.10099297391304,7.8852292173913,203.95652173913
2022-04-27,55.1975,54.7475,270.541666666667,10.5858333333333,5.57606098333333,10.545332,223.875
2022-04-28,54.425,54.14,263.166666666667,9.55208333333333,4.80916463333333,10.8693053333333,283.291666666667
2022-04-29,54.8375,53.69,263.166666666667,7.83,4.45237328333333,7.945446,234.666666666667
2022-04-30,54.8675,54.305,267.75,8.1925,4.2076773,4.50322933333333,233.291666666667
2022-05-01,56.3675,55.31,261.041666666667,7.19375,5.55418871666667,9.97027933333333,286.625
2022-05-02,54.62,55.8425,267.958333333333,9.11958333333333,5.75514016666667,7.20840666666667,213
2022-05-03,56.0886956521739,57.0826086956522,262.608695652174,9.50521739130435,5.94545266086956,5.5526212173913,220.130434782609
2022-05-04,56.4125,57.26,266.666666666667,10.5354166666667,4.61914931666667,5.92061266666667,146.625
2022-05-05,51.755,53.5925,270.875,12.5908333333333,4.45510731666667,9.26563733333333,245.5
2022-05-06,54.6275,54.08,264.125,15.4454166666667,4.88298353333333,5.30506333333333,229.041666666667
2022-05-07,56.6675,54.875,269.458333333333,11.74125,5.39834881666667,7.80775733333333,282
2022-05-08,54.9617391304348,54.0069565217391,269.95652173913,9.71565217391304,9.08222099130435,21.8301683478261,288.695652173913
2022-05-09,53.7425,53.12,269.458333333333,8.52708333333333,8.48233841666667,21.0582666666667,290.708333333333
2022-05-10,53.5608695652174,53.1069565217391,268.695652173913,9.06434782608696,6.19080243478261,18.7622817391304,281.913043478261
2022-05-11,53.555,53.2175,266.208333333333,7.20791666666667,6.24726616666667,18.58797,289.625
2022-05-12,55.2854545454545,53.69,263.681818181818,7.63,5.20162269090909,10.9561890909091,278.818181818182
2022-05-13,56.525,54.6425,267.25,7.2975,4.75448396666667,8.164128,244.916666666667
2022-05-14,56.8072727272727,55.5963636363636,265.409090909091,8.00181818181818,4.75870929090909,7.83720945454546,233.681818181818
